occupation,occupationLabel,image,position_de_jeu_ou_sp_cialit_,position_de_jeu_ou_sp_cialit_Label,pays_de_citoyennet_,pays_de_citoyennet_Label
http://www.wikidata.org/entity/Q10875,Laura Bassett,http://commons.wikimedia.org/wiki/Special:FilePath/Laura%20Bassett%20%28290769814%29.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10878,Dunia Susi,http://commons.wikimedia.org/wiki/Special:FilePath/Dunia%20Susi.JPG,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10879,Sophie Bradley,http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20bradley.JPG,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10879,Sophie Bradley,http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Bradley-Auckland%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10881,Claire Rafferty,http://commons.wikimedia.org/wiki/Special:FilePath/Claire%20Rafferty%202014%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10881,Claire Rafferty,http://commons.wikimedia.org/wiki/Special:FilePath/Claire%20Rafferty%20Lewes%20FC%20Women%200%20West%20Ham%20Utd%20Women%205%20pre%20season%2012%2008%202018-244%20%2829081543697%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10881,Claire Rafferty,http://commons.wikimedia.org/wiki/Special:FilePath/Claire%20Rafferty%202014%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10881,Claire Rafferty,http://commons.wikimedia.org/wiki/Special:FilePath/Claire%20Rafferty%20Lewes%20FC%20Women%200%20West%20Ham%20Utd%20Women%205%20pre%20season%2012%2008%202018-244%20%2829081543697%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10883,Rachel Yankey,http://commons.wikimedia.org/wiki/Special:FilePath/Rachel%20Yankey%202012.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10885,Fara Williams,http://commons.wikimedia.org/wiki/Special:FilePath/Fara%20Williams%20England%20Ladies%20v%20Montenegro%205%204%202014%20790.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10889,Karen Carney,http://commons.wikimedia.org/wiki/Special:FilePath/Karen%20Carney.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10889,Karen Carney,http://commons.wikimedia.org/wiki/Special:FilePath/Karen%20Carney.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10896,Jill Scott,http://commons.wikimedia.org/wiki/Special:FilePath/20171004%20UWCL%20SKN-MCW%20StPoelten%20Jill%20Scott%20850%201188.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
